,period_end,dni
356,2023-04-16T12:30:00Z,0
357,2023-04-16T13:00:00Z,0
358,2023-04-16T13:30:00Z,0
359,2023-04-16T14:00:00Z,0
360,2023-04-16T14:30:00Z,0
361,2023-04-16T15:00:00Z,0
362,2023-04-16T15:30:00Z,0
363,2023-04-16T16:00:00Z,0
364,2023-04-16T16:30:00Z,0
365,2023-04-16T17:00:00Z,0
366,2023-04-16T17:30:00Z,0
367,2023-04-16T18:00:00Z,0
368,2023-04-16T18:30:00Z,0
369,2023-04-16T19:00:00Z,0
370,2023-04-16T19:30:00Z,0
371,2023-04-16T20:00:00Z,0
372,2023-04-16T20:30:00Z,0
373,2023-04-16T21:00:00Z,0
374,2023-04-16T21:30:00Z,7
375,2023-04-16T22:00:00Z,98
376,2023-04-16T22:30:00Z,147
377,2023-04-16T23:00:00Z,173
378,2023-04-16T23:30:00Z,185
379,2023-04-17,217
380,2023-04-17T00:30:00Z,250
381,2023-04-17T01:00:00Z,279
382,2023-04-17T01:30:00Z,243
383,2023-04-17T02:00:00Z,149
384,2023-04-17T02:30:00Z,117
385,2023-04-17T03:00:00Z,144
386,2023-04-17T03:30:00Z,183
387,2023-04-17T04:00:00Z,238
388,2023-04-17T04:30:00Z,286
389,2023-04-17T05:00:00Z,314
390,2023-04-17T05:30:00Z,302
391,2023-04-17T06:00:00Z,251
392,2023-04-17T06:30:00Z,163
393,2023-04-17T07:00:00Z,19
394,2023-04-17T07:30:00Z,0
395,2023-04-17T08:00:00Z,0
396,2023-04-17T08:30:00Z,0
397,2023-04-17T09:00:00Z,0
398,2023-04-17T09:30:00Z,0
399,2023-04-17T10:00:00Z,0
400,2023-04-17T10:30:00Z,0
401,2023-04-17T11:00:00Z,0
402,2023-04-17T11:30:00Z,0
403,2023-04-17T12:00:00Z,0
404,2023-04-17T12:30:00Z,0
405,2023-04-17T13:00:00Z,0
406,2023-04-17T13:30:00Z,0
407,2023-04-17T14:00:00Z,0
408,2023-04-17T14:30:00Z,0
409,2023-04-17T15:00:00Z,0
410,2023-04-17T15:30:00Z,0
411,2023-04-17T16:00:00Z,0
412,2023-04-17T16:30:00Z,0
413,2023-04-17T17:00:00Z,0
414,2023-04-17T17:30:00Z,0
415,2023-04-17T18:00:00Z,0
416,2023-04-17T18:30:00Z,0
417,2023-04-17T19:00:00Z,0
418,2023-04-17T19:30:00Z,0
419,2023-04-17T20:00:00Z,0
420,2023-04-17T20:30:00Z,0
421,2023-04-17T21:00:00Z,0
422,2023-04-17T21:30:00Z,0
423,2023-04-17T22:00:00Z,0
424,2023-04-17T22:30:00Z,8
425,2023-04-17T23:00:00Z,41
426,2023-04-17T23:30:00Z,44
427,2023-04-18,42
428,2023-04-18T00:30:00Z,49
429,2023-04-18T01:00:00Z,52
430,2023-04-18T01:30:00Z,40
431,2023-04-18T02:00:00Z,13
432,2023-04-18T02:30:00Z,7
433,2023-04-18T03:00:00Z,20
434,2023-04-18T03:30:00Z,39
435,2023-04-18T04:00:00Z,66
436,2023-04-18T04:30:00Z,92
437,2023-04-18T05:00:00Z,120
438,2023-04-18T05:30:00Z,126
439,2023-04-18T06:00:00Z,88
440,2023-04-18T06:30:00Z,25
441,2023-04-18T07:00:00Z,0
442,2023-04-18T07:30:00Z,0
443,2023-04-18T08:00:00Z,0
444,2023-04-18T08:30:00Z,0
445,2023-04-18T09:00:00Z,0
446,2023-04-18T09:30:00Z,0
447,2023-04-18T10:00:00Z,0
448,2023-04-18T10:30:00Z,0
449,2023-04-18T11:00:00Z,0
450,2023-04-18T11:30:00Z,0
451,2023-04-18T12:00:00Z,0
452,2023-04-18T12:30:00Z,0
453,2023-04-18T13:00:00Z,0
454,2023-04-18T13:30:00Z,0
455,2023-04-18T14:00:00Z,0
456,2023-04-18T14:30:00Z,0
457,2023-04-18T15:00:00Z,0
458,2023-04-18T15:30:00Z,0
459,2023-04-18T16:00:00Z,0
460,2023-04-18T16:30:00Z,0
461,2023-04-18T17:00:00Z,0
462,2023-04-18T17:30:00Z,0
463,2023-04-18T18:00:00Z,0
464,2023-04-18T18:30:00Z,0
465,2023-04-18T19:00:00Z,0
466,2023-04-18T19:30:00Z,0
467,2023-04-18T20:00:00Z,0
468,2023-04-18T20:30:00Z,0
469,2023-04-18T21:00:00Z,0
